"","average","sd","ratio","ava","avb","cumsum","p"
"FALSE_TRUE.Flabellum alabastrum",0.320177731299862,0.280575108430992,1.14114802660269,160.52727446175,95.1671517721071,0.407119861393739,0.895
"FALSE_TRUE.Acanella arbuscula",0.283027958892071,0.265540231692443,1.06585716630647,229.69306140919,14.5989108490925,0.767002177152851,0.003
"FALSE_TRUE.Halipteris finmarchica",0.0846772017533203,0.217883624259503,0.388634997426279,22.6487244772201,112.819110308707,0.874672908971283,0.12
"FALSE_TRUE.Anthoptilum grandiflorum",0.0464346390935674,0.0670564341540858,0.692471045908397,21.16663189101,10.0108065187998,0.933716564989747,0.468
"FALSE_TRUE.Asconema foliatum",0.0305852881760783,0.0490140512590213,0.6240106130882,16.5891051091975,2.43922597835978,0.972607084428374,0.066
"FALSE_TRUE.Stauropathes arctica",0.00881096917124162,0.0163197818517173,0.539895033603926,2.21475333594629,0.860762352166466,0.983810613584438,0.472
"FALSE_TRUE.Pennatula",0.00862712225344268,0.0180700807304817,0.47742577258606,2.94183979029658,0.241905574760378,0.994780373416857,0.015
"FALSE_TRUE.Nephtheidae",0.00222071951601199,0.00987425392134077,0.224899980667142,0.0271319130337948,0.330042027210724,0.997604114524281,0.888
"FALSE_TRUE.Paramuricea",0.00120340183513323,0.0060690258789038,0.198285830237816,1.20700191830927,0.0360590311725853,0.999134292111371,0.797
"FALSE_TRUE.Porifera  massive >10cm",0.000557231566712155,0.00164446429301345,0.338852943830746,0.244707157461055,0.208242196035823,0.999842836198067,0.547
"FALSE_TRUE.Polymastiidae",0.000123600822060624,0.000434985649826339,0.284149194599798,0.149915245498141,0,1,0.553
